director,title
George A. Romero,Diary of the Dead
Kirsten Johnson,Dick Johnson Is Dead
Sam Weisman,Dickie Roberts: Former Child Star
Marc Lawrence,Did You Hear About the Morgans?
Travis Wilkerson,Did You Wonder Who Fired the Gun?
Lee Tamahori,Die Another Day
Mark Rucker,"Die, Mommie, Die!"
Asif Kapadia,Diego Maradona
Pascale Bailly,"Dieu est grand, je suis toute petite"
Ondi Timoner,Dig!
Hunter Adams,Dig Two Graves
Katherine Dieckmann,Diggers
Joe Swanberg,Digging for Fire
Adam Green,Digging Up the Marrow
Mamoru Hosoda,Digimon: Digital Monsters
Terry Kinney,Diminished Capacity
Antonio Santini,Dina
Jay Roach,Dinner for Schmucks
Bob Giraldi,Dinner Rush
Eric Leighton,Dinosaur
Todd Douglas Miller,Dinosaur 13
Frédéric Tcheng,Dior and I
Volker Schlöndorff,Diplomacy
Gregor Jordan,Dirt Music
Chris Fisher,Dirty
Guy Ferland,Dirty Dancing: Havana Nights
Sacha Polak,Dirty God
Maurice Jamal,Dirty Laundry
John Mallory Asher,Dirty Love
Stephen Frears,Dirty Pretty Things
Rick Rowley,Dirty Wars
Neil LaBute,Dirty Weekend
Albert Shin,Disappearance at Clifton Hill
Aaron Seltzer,Disaster Movie
Mark Wilkinson,Dischord
Sam Feder,Disclosure
Jaak Kilmi,Disco and Atomic War
Henry Alex Rubin,Disconnect
Steve Jacobs,Disgrace
Sebastián Lelio,Disobedience
Nuri Bilge Ceylan,Distant
Patrick Alessandrin,District 13: Ultimatum
Neill Blomkamp,District 9
Pierre Morel,District B13
D.J. Caruso,Disturbia
Pearl Gluck,Divan
Alexis Bloom,Divide and Conquer: The Story of Roger Ailes
Jan Hrebejk,Divided We Fall
Elia Suleiman,Divine Intervention
Gabriel Mascaro,Divine Love
Callie Khouri,Divine Secrets of the Ya-Ya Sisterhood
Etienne Comar,Django
Quentin Tarantino,Django Unchained
Hassan Yektapanah,Djomeh
Craig Atkinson,Do Not Resist
Chris Paine,Do You Trust this Computer?
Corey Yuen,DOA: Dead or Alive
Mike Flanagan,Doctor Sleep
Scott Derrickson,Doctor Strange
Ann Raffaela Lupo,Documented
Rawson Marshall Thurber,Dodgeball: A True Underdog Story
Ken Marino,Dog Days
Paul Schrader,Dog Eat Dog
Kim Chapiron,Dog Pound
Hossein Keshavarz,Dog Sweat
Matteo Garrone,Dogman
Giorgos Lanthimos,Dogtooth
Lars von Trier,Dogville
Ayelet Menahemi,"Doing Time, Doing Vipassana"
Craig Brewer,Dolemite Is My Name
Stephen Gaghan,Dolittle
Takeshi Kitano,Dolls
Debbie Allen,Dolly Parton’s Christmas On the Square
Peter Bratt,Dolores
Charles Martin Smith,Dolphin Tale
Charles Martin Smith,Dolphin Tale 2
Richard Shepard,Dom Hemingway
Patric Chiha,Domain
Harold Becker,Domestic Disturbance
Frederick Wiseman,Domestic Violence
Paul Schrader,Dominion: Prequel to the Exorcist
Tony Scott,Domino
Brian De Palma,Domino
Joseph Gordon-Levitt,Don Jon
Jake Goldberger,Don McKay
Jared Hess,Don Verdean
Kristopher Avedisian,Donald Cried
Sergei Loznitsa,Donbass
Oliver Blackburn,Donkey Punch
Jacques Demy,Donkey Skin (re-release)
Richard Kelly,Donnie Darko
Tim Sutton,Donnybrook
Troy Nixey,Don't Be Afraid of the Dark
Laura Israel,Don't Blink - Robert Frank
Fede Alvarez,Don't Breathe
Rodo Sayagues,Don't Breathe 2
Anna Muylaert,Don't Call Me Son
Bruce Thierry Cheung,Don't Come Back from the Moon
Wim Wenders,Don't Come Knocking
David Gleeson,Don't Go
Vincent D'Onofrio,Don't Go in the Woods
Michael Tully,Don't Leave Home
Jacob Aaron Estes,Don't Let Go
Adam McKay,Don't Look Up
Sergio Castellitto,Don't Move
Gary Fleder,Don't Say a Word
Ramona S. Diaz,Don't Stop Believin': Everyman's Journey
Cristina Comencini,Don't Tell
Agustín Díaz Yanes,Don't Tempt Me
John Pirozzi,Don't Think I've Forgotten: Cambodia's Lost Rock and Roll
Mike Birbiglia,Don't Think Twice
Dave Borthwick,Doogal
Andrzej Bartkowiak,Doom
Neil Marshall,Doomsday
Mark Decena,Dopamine
Rick Famuyiwa,Dope
James Bobin,Dora and the Lost City of Gold
Brad Leong,Dorfman in Love
Tennyson Bardwell,Dorian Blues
Marco Bellocchio,Dormant Beauty
Matthew Parkhill,Dot the I
Amanda Micheli,Double Dare
François Ozon,Double Lover
Stephen Kinsella,Double Parked
George Gallo,Double Take
John Patrick Shanley,Doubt
Drake Doremus,Douchebag
John Goldschmidt,Dough
Aleksey German,Dovlatov
Rodrigo Cortes,Down a Dark Hall
Kurt Voss,Down and Out with the Dolls
Chris Hegedus,Down from the Mountain
David Jacobson,Down in the Valley
Ben Wheatley,Down Terrace
Harold Guskin,Down the Shore
Chris Weitz,Down to Earth
Debra Granik,Down to the Bone
Kris Isacsson,Down to You
Peyton Reed,Down with Love
Oliver Hirschbiegel,Downfall
Jim Rash,Downhill
Johan Renck,Downloading Nancy
Alexander Payne,Downsizing
Michael Engler,Downton Abbey
Edo Bertoglio,Downtown 81
Sara Lamm,Dr. Bronner's Magic Soapbox
Steve Carr,Dr. Dolittle 2
Chris Renaud,Dr. Seuss' The Lorax
Patrick Lussier,Dracula 2000
Guy Maddin,Dracula: Pages from a Virgin's Diary
Gary Shore,Dracula Untold
Ivan Reitman,Draft Day
Sam Raimi,Drag Me to Hell
S. Craig Zahler,Dragged Across Concrete
Peter Chan,Dragon
James Wong,Dragonball: Evolution
Tom Shadyac,Dragonfly
Tristan Patterson,Dragonslayer
Gerardo Naranjo,Drama/Mex
Matthew Barney,Drawing Restraint 9
Euros Lyn,Dream Horse
Jim Sheridan,Dream House
Lawrence Kasdan,Dreamcatcher
Kim Longinotto,Dreamcatcher
John Gatins,Dreamer: Inspired by a True Story
Bill Condon,Dreamgirls
Ritu Sarin,Dreaming Lhasa
Miles Joris-Peyrafitte,Dreamland
Bruce McDonald,Dreamland
Carol Morley,Dreams of a Life
Manu Luksch,Dreams Rewired
Pete Travis,Dredd
Erik Sharkey,Drew: The Man Behind the Poster
Ben Nott,Drift
Steven Brill,Drillbit Taylor
Joe Swanberg,Drinking Buddies
Nicolas Winding Refn,Drive
Patrick Lussier,Drive Angry 3D
Brian Trenchard-Smith,Drive Hard
Ryûsuke Hamaguchi,Drive My Car
Renny Harlin,Driven
Jeremy Brock,Driving Lessons
Nick Gomez,Drowning Mona
Johnnie To,Drug War
Charles Stone III,Drumline
Brandon LaGanke,Drunk Bus
Douglas Tirola,Drunk Stoned Brilliant Dead: The Story of the National Lampoon
Sydney Freeland,Drunktown's Finest
Matt Mulhern,Duane Hopwood
Nicole Bettauer,Duck
Miguel Arteta,Duck Butter
Fernando Eimbcke,Duck Season
Todd Phillips,Due Date
Bruce Paltrow,Duets
Afia Nathaniel,Dukhtar
Carroll Ballard,Duma
Bobby Farrelly,Dumb and Dumber To
Troy Miller,Dumb and Dumberer: When Harry Met Lloyd
Tim Burton,Dumbo
Mark Goffman,Dumbstruck
Greg Pritikin,Dummy
Anne Fletcher,Dumplin'
Courtney Solomon,Dungeons & Dragons
Christopher Nolan,Dunkirk
Danny DeVito,Duplex
Tony Gilroy,Duplicity
Milcho Manchevski,Dust
Dana Brown,Dust to Glory
Paul Schrader,Dying of the Light
Kevin Munroe,Dylan Dog: Dead of Night
George Gallo,DysFunktional Family
Raphael Alvarez,Dzi Croquettes
Wonsuk Chin,E-Dreams
Katy Chevigny,E-Team
D.J. Caruso,Eagle Eye
Bill Jersey,Eames: The Architect & The Painter
Nick Park,Early Man
Alastair Fothergill,Earth
Robert Stone,Earth Days
Dave Green,Earth to Echo
Wash Westmoreland,Earthquake Bird
Chris Ordal,Earthwork
Goro Miyazaki,Earwig and the Witch
Kyle Patrick Alvarez,Easier with Practice
Damien O'Donnell,East Is East
Emilia Menocal,East of Havana
Robin Campillo,Eastern Boys
David Cronenberg,Eastern Promises
Jane Weinstock,Easy
Will Gluck,Easy A
Daniel Espinosa,Easy Money
Babak Najafi,Easy Money: Hard to Kill
Stephan Elliott,Easy Virtue
Ryan Murphy,Eat Pray Love
Thorsten Schütte,Eat That Question: Frank Zappa in His Own Words
Andrew Rossi,Eat This New York
Christopher Dillon Quinn,Eating Animals
Q. Allan Brocka,Eating Out
Phillip J. Bartell,Eating Out 2: Sloppy Seconds
Andrew Slater,Echo In the Canyon
Dexter Fletcher,Eddie the Eagle
Boris Rodriguez,Eddie: The Sleepwalking Cannibal
Declan Recks,Eden
Megan Griffiths,Eden
Mia Hansen-Løve,Eden
James Watkins,Eden Lake
Martin Campbell,Edge of Darkness
Doug Liman,Edge of Tomorrow
Rob Connolly,Edge of Winter
Simon Hunter,Edie
Stuart Gordon,Edmond
Richard Laxton,Effie Gray
Frank Marshall,Eight Below
Seth Kearsley,Eight Crazy Nights
Bo Burnham,Eighth Grade
Peter Greenaway,Eisenstein in Guanajuato
Luis Ortega,El Angel
Pablo Trapero,El bonaerense
Gereon Wetzel,El Bulli: Cooking in Progress
Vince Gilligan,El Camino: A Breaking Bad Movie
León Ichaso,El cantante
Stephen Purvis,El Cortez
Álex de la Iglesia,El Crimen Perfecto (The Perfect Crime)
Amalia Ulman,El Planeta
Chiemi Karasawa,Elaine Stritch: Shoot Me
Jiang Xiao,Electric Shadows
Rebecca Thomas,Electrick Children
Isabel Coixet,Elegy
Rob Bowman,Elektra
Sebastian Gutierrez,Elektra Luxx
Andrei Zvyagintsev,Elena
Petra Costa,Elena
Gus Van Sant,Elephant
Mark Linfield,Elephant
Anne Buford,Elevate
Michael Selditch,Eleven Minutes
Jon Favreau,Elf
José Padilha,Elite Squad
José Padilha,Elite Squad: The Enemy Within
Shekhar Kapur,Elizabeth: The Golden Age
Cameron Crowe,Elizabethtown
Tommy O'Haver,Ella Enchanted
Paul Verhoeven,Elle
Malgorzata Szumowska,Elles
Scott Coffey,Ellie Parker
Petter Næss,Elling
Jennifer Westcott,Elliot: The Littlest Reindeer
Michael Radford,Elsa & Fred
Jon Spira,Elstree 1976
Sam Irvin,Elvira's Haunted Hills
Liza Johnson,Elvis & Nixon
Neill Blomkamp,Elysium
Ciro Guerra,Embrace of the Serpent
Michael Thelin,Emelie
Andrew Molina,Emerald Cowboy
Carl Bessai,Emile
Autumn de Wilde,Emma.
Lisa Lax,Emmanuel's Gift
Amie Siegel,Empathy
Franc. Reyes,Empire
Christina Yao,Empire of Silver
Greg Coolidge,Employee of the Month
Jim McKay,En el Séptimo Día (On the Seventh Day)
Ole Christian Madsen,En kærlighedshistorie
Pernille Fischer Christensen,En soap
Kevin Lima,Enchanted
Michael Pearce,Encounter
Werner Herzog,Encounters at the End of the World
Elfar Adalsteins,End of Sentence
Jim Fields,End of the Century
Lucio Castro,End of the Century
David Ayer,End of Watch
Gavin Hood,Ender's Game
Drake Doremus,"Endings, Beginnings"
Shana Feste,Endless Love
Alejandro Jodorowsky,Endless Poetry
Roger Michell,Enduring Love
Peter Hyams,Enemies Closer
Sonia Kennebeck,Enemies of the State
Denis Villeneuve,Enemy
Jean-Jacques Annaud,Enemy at the Gates
Anders Ølholm,Enforcement
Mark Gill,England Is Mine
Michael Apted,Enigma
Harry Bradbeer,Enola Holmes
Michael Apted,Enough
Nicole Holofcener,Enough Said
Alex Gibney,Enron: The Smartest Guys in the Room
Jason James,Entanglement
Victor Teran,Enter the Dangerous Mind
Gaspar Noé,Enter the Void
Rick Alverson,Entertainment
Doug Ellin,Entourage
Barry Levinson,Envy
Jonathan Demme,Enzo Avitabile Music Life
Chris Wedge,Epic
Aaron Seltzer,Epic Movie
Hubert Sauper,Epicentro
Drake Doremus,Equals
Kurt Wimmer,Equilibrium
Meera Menon,Equity
Stefen Fangmeier,Eragon
Philipp Stölzl,Erased
Steven Soderbergh,Erin Brockovich
Doris Dörrie,Erleuchtung garantiert
Benjamin Renner,Ernest & Célestine
Kar Wai Wong,Eros
Kazuki Akane,Escaflowne: The Movie
Matthew Heineman,Escape Fire: The Fight to Rescue American Healthcare
Callan Brunker,Escape from Planet Earth
Francis Annan,Escape from Pretoria
Randy Moore,Escape from Tomorrow
Mikael Håfström,Escape Plan
Adam Robitel,Escape Room
Adam Robitel,Escape Room: Tournament of Champions
Andrea Weiss,Escape to Life: The Erika and Klaus Mann Story
Andrea Di Stefano,Escobar: Paradise Lost
Régis Wargnier,Est - Ouest
Arnaud Desplechin,Esther Kahn
Federico Sanchez,Eternal
Craig Roberts,Eternal Beauty
Michel Gondry,Eternal Sunshine of the Spotless Mind
Chloé Zhao,Eternals
Quentin Lee,Ethan Mao
Roger Mainwood,Ethel & Ernest
Nils Tavernier,Etoiles: Dancers of the Paris Opera Ballet
Michael Clancy,Eulogy
Lisa Langseth,Euphoria
Shinji Aoyama,Eureka
Sebastián Cordero,Europa Report
Alec Berg,EuroTrip
David Dobkin,Eurovision Song Contest: The Story of Fire Saga
Teemu Nikki,Euthanizer
Marcie Begleiter,Eva Hesse
Tom Shadyac,Evan Almighty
Hideaki Anno,Evangelion: 3.0+1.0 Thrice Upon a Time
Bruce Beresford,Evelyn
Mark Rydell,Even Money
Icíar Bollaín,Even the Rain (Tambien la Lluvia)
Lajos Koltai,Evening
Enid Zentelis,Evergreen
Jan Troell,Everlasting Moments
Joe Lynch,Everly
Vaughn Stein,Every Breath You Take
Richard Levine,Every Day
Tom Roberts,Every Last Child
Adam Del Deo,Every Little Step
Wim Wenders,Every Thing Will Be Fine
Ana Piterbarg,Everybody Has a Plan
Asghar Farhadi,Everybody Knows
Rahul Bose,Everybody Says I'm Fine!
Jason Todd Ipson,Everybody Wants to Be Italian
Ramez Silyan,Everybody's Everything
Dominique Deruddere,Everybody's Famous!
Kirk Jones,Everybody's Fine
Dan Gillespie Sells,Everybody's Talking About Jamie
Michael Winterbottom,Everyday
Chris Metzler,Everyday Sunshine: The Story of Fishbone
Maren Ade,Everyone Else
Christopher Reeve,Everyone's Hero
Stella Meghie,"Everything, Everything"
Dan Rush,Everything Must Go
Marc Forster,Everything Put Together
Olatunde Osunsanmi,Evidence
Mikael Håfström,Evil
Fede Alvarez,Evil Dead
Elan Dassani,Evil Eye
Ivan Reitman,Evolution
Lucile Hadzihalilovic,Evolution
Alexander Poe,Ex-Girlfriends
Frederick Wiseman,EX LIBRIS: The New York Public Library
Astra Taylor,Examined Life
Ric Klass,Excuse Me for Living
Joanna Hogg,Exhibition
Johnnie To,Exiled
Eduardo Sánchez,Exists
Jonas Alexander Arnby,Exit Plan
Banksy,Exit Through the Gift Shop
Andrzej Bartkowiak,Exit Wounds
Ridley Scott,Exodus: Gods and Kings
Daniel Dencik,Expedition to the End of the World
Nathan Frankowski,Expelled: No Intelligence Allowed
Michael Almereyda,Experimenter
Cecilia Miniucchi,Expired
Mark Webber,Explicit Ills
Philip Rosenthal,Exporting Raymond
Beth B.,Exposed
Enda Loughman,Extra Ordinary
Mike Judge,Extract
Sam Hargrave,Extraction
Tom Vaughan,Extraordinary Measures
Raul Garcia,Extraordinary Tales
Nacho Vigalondo,Extraterrestrial
Colin Minihan,Extraterrestrial
Christian Duguay,Extreme Ops
Stephen Daldry,Extremely Loud and Incredibly Close
Joe Berlinger,"Extremely Wicked, Shockingly Evil and Vile"
Gavin Hood,Eye in the Sky
Stephan Elliott,Eye of the Beholder
Haim Tabakman,Eyes Wide Open
Newton I. Aduaka,Ezra
Justin Lin,F9: The Fast Saga
Ousmane Sembene,Faat Kiné
Bertha Bay-Sa Pan,Face
Agnès Varda,Faces Places
Bob Connolly,Facing the Music
Ferzan Ozpetek,Facing Windows
George Hickenlooper,Factory Girl
Bent Hamer,Factotum
John Turturro,Fading Gigolo
Carlos Saura,Fados
Michael Moore,Fahrenheit 11/9
Michael Moore,Fahrenheit 9/11
Tom Dey,Failure to Launch
Doug Liman,Fair Game
Tom O'Brien,Fairhaven
Viggo Mortensen,Falling
Luc Bondy,False Confessions
John Lee,False Positive
Kevin Tancharoen,Fame
Laura Steinel,Family
Arthur Dong,Family Fundamentals
Daniel Burman,Family Law
Werner Herzog,"Family Romance, LLC"
Christian-Jaque,Fan-Fan the Tulip
Kyle Newman,Fanboys
Daniel Auteuil,Fanny
Don Hahn,Fantasia 2000
David Yates,Fantastic Beasts and Where to Find Them
David Yates,Fantastic Beasts: The Crimes of Grindelwald
Tim Story,Fantastic Four
Josh Trank,Fantastic Four
Tim Story,Fantastic Four: Rise of the Silver Surfer
Louis Schwartzberg,Fantastic Fungi
Wes Anderson,Fantastic Mr. Fox
David Oelhoffen,Far From Men
Thomas Vinterberg,Far from the Madding Crowd
Brad Bernstein,Far Out Isn't Far Enough: The Tomi Ungerer Story
Christian Carion,Farewell
Ekwa Msangi,Farewell Amor
Yael Reuveny,"Farewell, Herr Schwarz"
Benoît Jacquot,"Farewell, My Queen"
Kristin Canty,Farmageddon
Adewale Akinnuoye-Agbaje,Farming
James Moll,Farmland
Klaus Menzel,Fascination
Christian Braad Thomsen,Fassbinder: To Love Without Demands
Justin Lin,Fast Five
Amos Kollek,Fast Food Fast Women
Richard Linklater,Fast Food Nation
Justin Lin,Fast & Furious
David Leitch,Fast & Furious Presents: Hobbs & Shaw
Jonathan Hock,Fastball
George Tillman Jr,Faster
Joel Zwick,Fat Albert
Catherine Breillat,Fat Girl
Ash Christian,Fat Girls
Peter Sullivan,Fatal Affair
Lajos Koltai,Fateless
Aleksandr Sokurov,Father and Son
Lawrence Sher,Father Figures
Trent Cooper,Father of Invention
Catrin Einhorn,Father Soldier Son
Paul Weitz,Fatherhood
Gabriele Muccino,Fathers and Daughters
Drew Xanthopoulos,Fathom
Philippe Faucon,Fatima
Marco Pontecorvo,Fatima
Eshom Nelms,Fatman
Janet Tobias,Fauci
Aleksandr Sokurov,Faust
Jeff Zimbalist,Favela Rising
Hal Hartley,Fay Grim
Jessica Beshir,Faya Dayi
Alain Corneau,Fear and Trembling
Leigh Janiak,Fear Street Part One: 1994
Leigh Janiak,Fear Street Part Three: 1666
Nicolas Winding Refn,Fear X
William Malone,FeardotCom
Ronny Yu,Fearless
Robert Benton,Feast of Love
Robert Tinnell,Feast of the Seven Fishes
Alejandro Chomski,Feel the Noise
Arthur Jones,Feels Good Man
Alain Gomis,Félicité
Maxime Giroux,Félix And Meira
Damian Pettigrew,Fellini: I'm a Born Liar
Ric Roman Waugh,Felon
Matthew Saville,Felony
Jason Banker,Felt
Brian De Palma,Femme Fatale
Denzel Washington,Fences
Carlos Saldanha,Ferdinand
Christopher Felver,Ferlinghetti: A Rebirth of Wonder
Bob Smeaton,Festival Express
Henry Jaglom,Festival in Cannes
Shundell Prasad,Festival of Lights
Alex Winter,Fever
Claudia Llosa,Fever Dream
Bobby Farrelly,Fever Pitch
Max Lewkowicz,Fiddler: A Miracle of Miracles
Estela Bravo,Fidel
Andrew Currie,Fido
Griffin Dunne,Fierce People
Kari Skogland,Fifty Dead Men Walking
Gulshat Omarova,Fifty-Fifty
James Foley,Fifty Shades Freed
Michael Tiddes,Fifty Shades of Black
Sam Taylor-Johnson,Fifty Shades of Grey
Amir Bar-Lev,Fighter
Dito Montiel,Fighting
Terry Sanders,Fighting for Life
Stephen Merchant,Fighting with My Family
Michael Tucker,Fightville
Rama Burshtein,Fill the Void
Michael D. Olmos,Filly Brown
James Westby,Film Geek
Jean-Luc Godard,Film Socialisme
Tony Zierra,Filmworker
Jon S. Baird,Filth
Campbell Scott,Final
Luke Holland,Final Account
James Wong,Final Destination
David R. Ellis,Final Destination 2
James Wong,Final Destination 3
Steven Quale,Final Destination 5
Hironobu Sakaguchi,Final Fantasy: The Spirits Within
Stanley Tucci,Final Portrait
Scott Mann,Final Score
Miguel Sapochnik,Finch
Sidney Lumet,Find Me Guilty
Bryan Carberry,Finders Keepers
Peter Tolan,Finding Amanda
Julie Davis,Finding Bliss
Andrew Stanton,Finding Dory
Paula Heil Fisher,Finding Eleazar
Alex Gibney,Finding Fela!
Gus Van Sant,Finding Forrester
Patrick Takaya Solomon,Finding Joe
Andrew Stanton,Finding Nemo
Marc Forster,Finding Neverland
Jude Weng,Finding 'Ohana
Ryan Suffern,Finding Oscar
Mark Steven Johnson,Finding Steve McQueen
Charlie Siskel,Finding Vivian Maier
Brian Baugh,Finding You
Richard Loncraine,Finding Your Feet
Justin Lin,Finishing the Game: The Search for a New Bruce Lee
Dylan Mohan Gray,Fire in the Blood
Oliver Laxe,Fire Will Come
Clive Oppenheimer,Fireball: Visitors from Darker Worlds
Jasmin Mozaffari,Firecrackers
Chris Bradley,Fired!
Will Gluck,Fired Up!
Jawed Wassel,Firedancer
Dennis Lee,Fireflies in the Garden
Todd Holland,Firehouse Dog
Richard Loncraine,Firewall
Akiyuki Shinbo,Fireworks
Asghar Farhadi,Fireworks Wednesday (2006)
Darren Knapp,First Date
Forest Whitaker,First Daughter
Kemp Curly,First Descent
Steven C. Miller,First Kill
Matteo Garrone,First Love
Takashi Miike,First Love
Damien Chazelle,First Man
Olivia Newman,First Match
Christopher Menaul,1st Night
Bess Kargman,First Position
Paul Schrader,First Reformed
David E. Talbert,First Sunday
Angelina Jolie,First They Killed My Father
Andrea Arnold,Fish Tank
Brian Austin Green,Fish Without a Bicycle
Chris Foggin,Fisherman's Friends
Cutter Hodierne,Fishing Without Nets
Richie Keen,Fist Fight
Alan Brown,Five Dances
Justin Baldoni,Five Feet Apart
Oliver Hirschbiegel,Five Minutes of Heaven
Maris Curran,Five Nights in Maine
Keith Miller,Five Star
Sean Penn,Flag Day
Michael Lehmann,Flakes
Ole Christian Madsen,Flame and Citron
Carlos Saura,"Flamenco, Flamenco"
Jeff Lipsky,Flannel Pajamas
Marc Abraham,Flash of Genius
Niels Arden Oplev,Flatliners
Krishna D.K.,Flavors
Michael Radford,Flawless
Jonas Poher Rasmussen,Flee
Chi Yin,Fleeing by Night
Michael Mayer,Flicka
Robert Zemeckis,Flight
Hsiao-hsien Hou,Flight of the Red Balloon
Robert Schwentke,Flightplan
Rob Reiner,Flipped
Lena Khan,Flora & Ulysses
Irena Salina,Flow: For Love of Water
Max Winkler,Flower
Jon Garaño,Flowers
David Bowers,Flushed Away
Janet Grillo,Fly Away
Ben Stassen,Fly Me to the Moon 3D
Tony Bill,Flyboys
Rob Minkoff,Flypaper
Neal Slavin,Focus
Glenn Ficarra,Focus
Jeff Grace,Folk Hero & Funny Guy
Ari Daniel Pinchot,Follow Me: The Yoni Netanyahu Story
Ralph Arlyck,Following Sean
Jean-Paul Jaud,Food Beware: The French Organic Revolution
Robert Kenner,"Food, Inc."
Ventura Pons,Food of Love
Andy Tennant,Fool's Gold
Craig Brewer,Footloose
Joseph Cedar,Footnote
Kostia Testut,Footnotes
Steven Peros,Footprints
Jamie Travis,"For a Good Time, Call..."
Diane Kurys,For a Woman
Jeremy S. Levine,For Ahkeem
Tyler Perry,For Colored Girls
So Yong Kim,For Ellen
Dean Wright,For Greater Glory
Charlie Paul,For No Good Reason
Edward Watts,For Sama
Daniel G. Karslake,For the Bible Tells Me So
Adam Nimoy,For the Love of Spock
Bingham Bryant,For the Plasma
Paul Wright,For Those in Peril
Ruben Östlund,Force Majeure
Michael Polish,Force of Nature
James Mangold,Ford v Ferrari
Dan Wolman,Foreign Sister
Ryan Little,Forever Strong
Samir,Forget Baghdad: Jews and Arabs - The Iraqi Connection
Nicholas Stoller,Forgetting Sarah Marshall
Bob Hercules,Forgiving Dr. Mengele
Lee Fulkerson,Forks Over Knives
Adam Kane,Formosa Betrayed
Ronny Yu,Formula 51
Jon Cassar,Forsaken
Claudia Myers,Fort Bliss
Charles Rogers,Fort Tilden
Ira Sachs,Forty Shades of Blue
John Singleton,Four Brothers
Seth Gordon,Four Christmases
Rodrigo García,Four Good Days
Jamie Roberts,Four Hours at the Capitol
Andy De Emmony,Four Kids and It
Christopher Morris,Four Lions
Antony Cordier,Four Lovers
Dan Sallitt,Fourteen
Bennett Miller,Foxcatcher
Samuel Maoz,Foxtrot
Gregory Hoblit,Fracture
Bill Paxton,Frailty
Don Argott,Framing John DeLorean
Bruno Dumont,France
Noah Baumbach,Frances Ha
Brian M. Cassidy,Francine
Chatrichalerm Yukol,Francis Ford Coppola Presents: The Legend of Suriyothai
Aleksandr Sokurov,Francofonia
Lenny Abrahamson,Frank
Matthew M. Ross,Frank & Lola
Richard Raaphorst,Frankenstein's Army
Tim Burton,Frankenweenie
Geoffrey Sax,Frankie & Alice
Michael Pressman,Frankie and Johnny Are Married
François Ozon,Frantz
Yilmaz Arslan,Fratricide
Trudie Styler,Freak Show
Mary Kuryla,Freak Weather
Alex Gibney,Freakonomics
Christopher B. Landon,Freaky
Mark Waters,Freaky Friday
David Dobkin,Fred Claus
Richard Ledes,Fred Won't Move Out
Tom Green,Freddy Got Fingered
Ronny Yu,Freddy vs. Jason
Shola Lynch,Free Angela & All Political Prisoners
Ash Brannon,Free Birds
Ben Wheatley,Free Fire
Shawn Levy,Free Guy
Ismaël Ferroukhi,Free Men
Barbara Albert,Free Radicals
Shana Betz,Free Ride
Elizabeth Chai Vasarhelyi,Free Solo
Gary Ross,Free State of Jones
Amos Gitai,Free Zone
Peter Cousens,Freedom
Richard LaGravenese,Freedom Writers
Joe Roth,Freedomland
Peter Sollett,Freeheld
Kate McLean,Freeland
Kevin Fitzgerald,Freestyle: The Art of Rhyme
Takashi Ishii,Freeze Me
Azazel Jacobs,French Exit
Gregory Hoblit,Frequency
Sacha Jenkins,Fresh Dressed
Julie Taymor,Frida
Marcus Raboy,Friday After Next
Claire Denis,Friday Night
Peter Berg,Friday Night Lights
Marcus Nispel,Friday the 13th
Simon Verhoeven,Friend Request
Sarah Smick,Friended to Death
Kristen Coury,Friends and Family
Will Gluck,Friends with Benefits
Jennifer Westfeldt,Friends with Kids
Nicole Holofcener,Friends with Money
Craig Gillespie,Fright Night
Albert Hughes,From Hell
Robert Iscove,From Justin to Kelly
Matthew Newton,From Nowhere
Barry Strugatz,From Other Worlds
Pierre Morel,From Paris with Love
Angel Gracia,From Prada to Nada
Constantine Giannaris,From the Edge of the City
Nicole Garcia,From the Land of the Moon
Goro Miyazaki,From Up on Poppy Hill
Ray Yeung,Front Cover
Michael Berry,Frontera
Caroline Suh,Frontrunners
Ron Howard,Frost/Nixon
Adam Green,Frozen
Chris Buck,Frozen
Chris Buck,Frozen II
Courtney Hunt,Frozen River
Ryan Coogler,Fruitvale Station
Steve Anderson,Fuck
Jeremy Podeswa,Fugitive Pieces
Jesse Moss,Full Battle Rattle
Steven Soderbergh,Full Frontal
David Munro,Full Grown Men
Christian Charles,Full of It
Kazuya Murata,Fullmetal Alchemist: The Sacred Star of Milos
Alethea Jones,Fun Mom Dinner
Josh Schwartz,Fun Size
Dean Parisot,Fun with Dick and Jane
Deepa Mehta,Funny Boy
Tim Sutton,Funny Face
Michael Haneke,Funny Games (2008)
Andrew Bujalski,Funny Ha Ha
Judd Apatow,Funny People
Steven Shainberg,Fur: An Imaginary Portrait of Diane Arbus
James Wan,Furious 7
David Ayer,Fury
Chris Smith,Fyre
Christopher Scott Cherot,G
Hoyt Yeatman,G-Force
Lou Howe,Gabriel
Fellipe Barbosa,Gabriel and the Mountain
Patrice Chéreau,Gabrielle
Louise Archambault,Gabrielle
Chris Moukarbel,Gaga: Five Foot Two
Jaco Bouwer,Gaia
Joann Sfar,Gainsbourg: A Heroic Life
Mélanie Laurent,Galveston
Michael Hoffman,Game 6
John Francis Daley,Game Night
Vikram Jayanti,Game Over: Kasparov and the Machine
Brian Taylor,Gamer
Abdel Kechiche,Games of Love and Chance
Martin Scorsese,Gangs of New York
Anurag Kashyap,Gangs of Wasseypur
Paul McGuigan,Gangster No. 1
Ruben Fleischer,Gangster Squad
Ralph Ziman,Gangster's Paradise: Jerusalema
Alex Proyas,Garage Days
Edmon Roch,Garbo: The Spy
