director,title
Jonas Carpignano,A Ciambra
Mark Rosman,A Cinderella Story
Jan Ole Gerster,A Coffee In Berlin
Éléonore Faucher,A Common Thread
Alonso Ruiz Palacios,A Cop Movie
Trevor White,A Crooked Somebody
Gore Verbinski,A Cure for Wellness
David Cronenberg,A Dangerous Method
Simon Fellows,A Dark Place
Sergio Arau,A Day Without a Mexican
Richard LaGravenese,A Decade Under the Influence
Thomas Balmes,A Decent Factory
John Waters,A Dirty Shame
Gail Mancuso,A Dog's Journey
Lasse Hallstrom,A Dog's Purpose
Tyler Perry,A Fall from Grace
Helen Lesnick,A Family Affair
Tom Fassaert,A Family Affair
Mark Williams,A Family Man
Chris Hopewell,A Fantastic Fear of Everything
Ben Wheatley,A Field in England
Yael Hersonski,A Film Unfinished
Maria Sole Tognazzi,A Five Star Life
Samantha Grant,A Fragile Trust
David Wain,A Futile and Stupid Gesture
Sophie Deraspe,A Gay Girl in Damascus: The Amina Profile
David Lowery,A Ghost Story
Amy S. Weber,A Girl Like Her
Kôji Fukada,A Girl Missing
Ana Lily Amirpour,A Girl Walks Home Alone at Night
Roman Coppola,A Glimpse Inside the Mind of Charles Swan III
Rodney Ascher,A Glitch in the Matrix
Katherine Dieckmann,A Good Baby
John Moore,A Good Day to Die Hard
Alex Gregory,A Good Old Fashioned Orgy
Mike Barker,A Good Woman
Abner Pastoll,A Good Woman Is Hard to Find
Ridley Scott,A Good Year
Erik Nelson,A Gray State
Dito Montiel,A Guide to Recognizing Your Saints
Seong-hoon Kim,A Hard Day
Michael Tiddes,A Haunted House 2
Terrence Malick,A Hidden Life
Tobias Lindholm,A Hijacking
David Cronenberg,A History of Violence
Lukas Moodysson,A Hole in My Heart
Richard Ledes,A Hole in One
Tom Tykwer,A Hologram for the King
Michael Mayer,A Home at the End of the World
Chuck Workman,A House on a Hill
Claude Berri,A Housekeeper
Parvez Sharma,A Jihad for Love
Denzel Washington,A Journal for Jordan
Silas Howard,A Kid Like Jake
Andy Goddard,A Kind of Murder
Brian Helgeland,A Knight's Tale
Siew Hua Yeo,A Land Imagined
Yaron Zilberman,A Late Quartet
Christopher Browne,A League of Ordinary Gentlemen
Daniel Junge,A LEGO Brickumentary
Hiroyuki Okiura,A Letter to Momo
Bruce Weber,A Letter to True
Benjamin Timlett,A Liar's Autobiography - The Untrue Story of Monty Python's Graham Chapman
Alan Rickman,A Little Chaos
Michael J. Weithorn,A Little Help
Pascal Chaumeil,A Long Way Down
Nigel Cole,A Lot Like Love
David Guy Levy,A Love Affair of Sorts
Sydney Macartney,A Love Divided
Shainee Gabel,A Love Song for Bobby Long
F. Gary Gray,A Man Apart
Hannes Holm,A Man Called Ove
Brent Pierson,A Man Named Pearl
Chris Kennedy,A Man's Gotta Do
Jonathan Demme,A Master Builder
Bernard Rapp,A Matter of Taste
Tristram Shapeero,A Merry Friggin' Christmas
Casey Wilder Mott,A Midsummer Night's Dream
Michael Winterbottom,A Mighty Heart
Christopher Guest,A Mighty Wind
Sam Taylor-Johnson,A Million Little Pieces
Seth MacFarlane,A Million Ways to Die in the West
Juan Antonio Bayona,A Monster Calls
Rodrigo Plá,A Monster with a Thousand Heads
Amy Koppelman,A Mouthful of Air
Emilio Aragón,A Night in Old Mexico
Samuel Bayer,A Nightmare on Elm Street
Fernando León de Aranoa,A Perfect Day
David Twohy,A Perfect Getaway
John D. Hancock,A Piece of Eden
Roy Andersson,A Pigeon Sat on a Branch Reflecting on Existence
Kristi Jacobson,A Place at the Table
Les Blank,A Poem Is a Naked Person
Robert Altman,A Prairie Home Companion
Jean-Stéphane Sauvaire,A Prayer Before Dawn
Joan Carr-Wiggin,A Previous Engagement
Patrice Leconte,A Promise
Jacques Audiard,A Prophet
Terence Davies,A Quiet Passion
