salesdid;fName
335;Contemporary_Fiction
336;Contemporary_Fiction
337;Factual
338;Factual
339;Contemporary_Fiction
340;Contemporary_Fiction
341;Kids_Fiction
342;Contemporary_Fiction
343;Contemporary_Fiction
344;Contemporary_Fiction
345;Contemporary_Fiction
346;Contemporary_Fiction
347;Contemporary_Fiction
348;Historical_Fiction
349;Contemporary_Fiction
350;Contemporary_Fiction
351;
352;
353;Fantasy
354;Contemporary_Fiction
355;Contemporary_Fiction
356;Contemporary_Fiction
357;Contemporary_Fiction
358;Factual
359;Factual
360;Factual
361;Contemporary_Fiction
362;Contemporary_Fiction
363;Contemporary_Fiction
364;Multiple_Creative_Types
365;Dramatization
366;Kids_Fiction
367;
368;Contemporary_Fiction
369;Contemporary_Fiction
370;Factual
371;Dramatization
372;
373;
374;
375;
376;Factual
377;Contemporary_Fiction
378;Contemporary_Fiction
379;Contemporary_Fiction
380;Contemporary_Fiction
381;Dramatization
382;
383;
384;Contemporary_Fiction
385;Contemporary_Fiction
386;Contemporary_Fiction
387;Contemporary_Fiction
388;Contemporary_Fiction
389;
390;Factual
391;
392;Factual
393;Contemporary_Fiction
394;Contemporary_Fiction
395;Historical_Fiction
396;Dramatization
397;
398;Factual
399;Factual
400;Fantasy
401;Contemporary_Fiction
402;Fantasy
403;Factual
404;Contemporary_Fiction
405;Science_Fiction
406;Fantasy
407;Factual
408;Historical_Fiction
409;Factual
410;Factual
411;Contemporary_Fiction
412;Factual
413;Dramatization
414;Contemporary_Fiction
415;Factual
416;Fantasy
417;Contemporary_Fiction
418;Contemporary_Fiction
419;Contemporary_Fiction
420;Contemporary_Fiction
421;Contemporary_Fiction
422;Kids_Fiction
423;Contemporary_Fiction
424;Contemporary_Fiction
425;Factual
426;Contemporary_Fiction
427;Science_Fiction
428;Factual
429;Kids_Fiction
430;
431;Historical_Fiction
432;Factual
433;
434;Historical_Fiction
435;
436;Factual
437;Fantasy
438;Contemporary_Fiction
439;Contemporary_Fiction
440;Factual
441;Factual
442;Dramatization
443;Kids_Fiction
444;Contemporary_Fiction
445;Contemporary_Fiction
446;Contemporary_Fiction
447;
448;Historical_Fiction
449;Contemporary_Fiction
450;Factual
451;
452;Historical_Fiction
453;Factual
454;Contemporary_Fiction
455;Contemporary_Fiction
456;Contemporary_Fiction
457;Contemporary_Fiction
458;Contemporary_Fiction
459;
460;
461;Contemporary_Fiction
462;Factual
463;Kids_Fiction
464;Contemporary_Fiction
465;Super_Hero
466;Factual
467;Contemporary_Fiction
468;Science_Fiction
469;Kids_Fiction
470;Factual
471;Factual
472;Contemporary_Fiction
473;
474;Contemporary_Fiction
475;Contemporary_Fiction
476;Factual
477;Contemporary_Fiction
478;Factual
479;Dramatization
480;Contemporary_Fiction
481;
482;Dramatization
483;Contemporary_Fiction
484;Contemporary_Fiction
485;Contemporary_Fiction
486;Historical_Fiction
487;Factual
488;Factual
489;Contemporary_Fiction
490;Contemporary_Fiction
491;Contemporary_Fiction
492;Contemporary_Fiction
493;Kids_Fiction
494;Contemporary_Fiction
495;
496;Contemporary_Fiction
497;Historical_Fiction
498;Contemporary_Fiction
499;Factual
500;Fantasy
501;Contemporary_Fiction
502;Contemporary_Fiction
503;Contemporary_Fiction
504;Contemporary_Fiction
505;
506;
507;Contemporary_Fiction
508;Factual
509;Contemporary_Fiction
510;Factual
511;
512;Contemporary_Fiction
513;Factual
514;
515;Factual
516;Contemporary_Fiction
517;Factual
518;
519;Contemporary_Fiction
520;Contemporary_Fiction
521;Science_Fiction
522;Factual
523;Contemporary_Fiction
524;
525;
526;Contemporary_Fiction
527;
528;Contemporary_Fiction
529;Contemporary_Fiction
530;Kids_Fiction
531;Contemporary_Fiction
532;Contemporary_Fiction
533;Historical_Fiction
534;Contemporary_Fiction
535;Historical_Fiction
536;Contemporary_Fiction
537;Contemporary_Fiction
538;Contemporary_Fiction
539;Contemporary_Fiction
540;Contemporary_Fiction
541;Contemporary_Fiction
542;
543;Contemporary_Fiction
544;
545;
546;Contemporary_Fiction
547;Dramatization
548;Factual
549;Historical_Fiction
550;Contemporary_Fiction
551;Contemporary_Fiction
552;Factual
553;
554;Contemporary_Fiction
555;Fantasy
556;Contemporary_Fiction
557;Contemporary_Fiction
558;
559;Contemporary_Fiction
560;Historical_Fiction
561;Contemporary_Fiction
562;Contemporary_Fiction
563;Factual
564;Contemporary_Fiction
565;Contemporary_Fiction
566;Science_Fiction
567;Contemporary_Fiction
568;Contemporary_Fiction
569;Contemporary_Fiction
570;Fantasy
571;Contemporary_Fiction
572;Contemporary_Fiction
573;Contemporary_Fiction
574;Contemporary_Fiction
575;Contemporary_Fiction
576;Contemporary_Fiction
577;Factual
578;Kids_Fiction
579;Contemporary_Fiction
580;Contemporary_Fiction
581;Contemporary_Fiction
582;Historical_Fiction
583;
584;Contemporary_Fiction
585;Historical_Fiction
586;Factual
587;Contemporary_Fiction
588;
589;Contemporary_Fiction
590;Factual
591;Contemporary_Fiction
592;Factual
593;Contemporary_Fiction
594;Contemporary_Fiction
595;Historical_Fiction
596;
597;
598;Contemporary_Fiction
599;Factual
600;Kids_Fiction
601;Kids_Fiction
602;Factual
603;
604;Contemporary_Fiction
605;Contemporary_Fiction
606;Factual
607;Contemporary_Fiction
608;Factual
609;Kids_Fiction
610;
611;Kids_Fiction
612;Contemporary_Fiction
613;Contemporary_Fiction
614;
615;
616;Contemporary_Fiction
617;Contemporary_Fiction
618;Contemporary_Fiction
619;Factual
620;Dramatization
621;Science_Fiction
622;Contemporary_Fiction
623;Contemporary_Fiction
624;
625;Contemporary_Fiction
626;Fantasy
627;
628;Dramatization
629;Historical_Fiction
630;
631;
632;Fantasy
633;Historical_Fiction
634;Contemporary_Fiction
635;Dramatization
636;Contemporary_Fiction
637;Contemporary_Fiction
638;
639;Historical_Fiction
640;
641;Contemporary_Fiction
642;Historical_Fiction
643;
644;Contemporary_Fiction
645;Contemporary_Fiction
646;Factual
647;Contemporary_Fiction
648;
649;Dramatization
650;
651;Contemporary_Fiction
652;Kids_Fiction
653;Contemporary_Fiction
654;
655;Kids_Fiction
656;Contemporary_Fiction
657;Contemporary_Fiction
658;Contemporary_Fiction
659;Factual
660;Contemporary_Fiction
661;Factual
662;
663;Contemporary_Fiction
664;Contemporary_Fiction
665;
666;Contemporary_Fiction
667;Science_Fiction
668;Factual
669;Contemporary_Fiction
670;Factual
671;Contemporary_Fiction
672;
673;Kids_Fiction
674;Contemporary_Fiction
675;Contemporary_Fiction
676;Contemporary_Fiction
677;Contemporary_Fiction
678;Factual
679;Contemporary_Fiction
680;Contemporary_Fiction
681;
682;Contemporary_Fiction
683;Contemporary_Fiction
684;Fantasy
685;Factual
686;Historical_Fiction
687;
688;Contemporary_Fiction
689;Contemporary_Fiction
690;Science_Fiction
691;Contemporary_Fiction
692;Factual
693;Historical_Fiction
694;Factual
695;Factual
696;
697;Factual
698;Contemporary_Fiction
699;Dramatization
700;Factual
701;
702;Factual
703;
704;Contemporary_Fiction
705;Contemporary_Fiction
706;Contemporary_Fiction
707;Contemporary_Fiction
708;Contemporary_Fiction
709;Historical_Fiction
710;Science_Fiction
711;Historical_Fiction
712;
713;
714;Contemporary_Fiction
715;
716;Contemporary_Fiction
717;Contemporary_Fiction
718;Dramatization
719;
720;Contemporary_Fiction
721;Contemporary_Fiction
722;Factual
723;Historical_Fiction
724;Contemporary_Fiction
725;Contemporary_Fiction
726;Contemporary_Fiction
727;
728;Contemporary_Fiction
729;Contemporary_Fiction
730;
731;Contemporary_Fiction
732;Factual
733;
734;Contemporary_Fiction
735;
736;
737;Historical_Fiction
738;Contemporary_Fiction
739;Contemporary_Fiction
740;
741;Kids_Fiction
742;Contemporary_Fiction
743;Factual
744;Factual
745;Historical_Fiction
746;Science_Fiction
747;Factual
748;Factual
749;Dramatization
750;Factual
751;Historical_Fiction
752;Contemporary_Fiction
753;Contemporary_Fiction
754;Contemporary_Fiction
755;Contemporary_Fiction
756;Factual
757;Contemporary_Fiction
758;Contemporary_Fiction
759;Factual
760;
761;Contemporary_Fiction
762;Factual
763;Contemporary_Fiction
764;Contemporary_Fiction
765;Kids_Fiction
766;Contemporary_Fiction
767;Factual
768;Factual
769;Contemporary_Fiction
770;Kids_Fiction
771;Contemporary_Fiction
772;
773;
774;Contemporary_Fiction
775;Historical_Fiction
776;Contemporary_Fiction
777;Contemporary_Fiction
778;Contemporary_Fiction
779;Contemporary_Fiction
780;Factual
781;Contemporary_Fiction
782;
783;Factual
784;Contemporary_Fiction
785;Factual
786;Science_Fiction
787;
788;Factual
789;
790;Contemporary_Fiction
791;
792;Contemporary_Fiction
793;Contemporary_Fiction
794;Contemporary_Fiction
795;Historical_Fiction
796;Contemporary_Fiction
797;Contemporary_Fiction
798;
799;Factual
800;Kids_Fiction
801;Contemporary_Fiction
802;Kids_Fiction
803;Contemporary_Fiction
804;
805;Contemporary_Fiction
806;Historical_Fiction
807;Contemporary_Fiction
808;Contemporary_Fiction
809;Factual
810;Dramatization
811;Contemporary_Fiction
812;Multiple_Creative_Types
813;Multiple_Creative_Types
814;Contemporary_Fiction
815;Contemporary_Fiction
816;
817;Contemporary_Fiction
818;Contemporary_Fiction
819;Science_Fiction
820;Kids_Fiction
821;Factual
822;Fantasy
823;Contemporary_Fiction
824;
825;Contemporary_Fiction
826;Dramatization
827;Factual
828;Contemporary_Fiction
829;Contemporary_Fiction
830;
831;Factual
832;Dramatization
833;Historical_Fiction
834;Contemporary_Fiction
835;Contemporary_Fiction
836;Factual
837;
838;
839;Contemporary_Fiction
840;Contemporary_Fiction
841;Contemporary_Fiction
842;Contemporary_Fiction
843;Contemporary_Fiction
844;Dramatization
845;Contemporary_Fiction
846;Dramatization
847;Contemporary_Fiction
848;Contemporary_Fiction
849;Contemporary_Fiction
850;Factual
851;Contemporary_Fiction
852;Fantasy
853;Contemporary_Fiction
854;Kids_Fiction
855;Fantasy
856;Dramatization
857;Contemporary_Fiction
858;Contemporary_Fiction
859;
860;Contemporary_Fiction
861;Contemporary_Fiction
862;
863;
864;
865;Factual
866;Contemporary_Fiction
867;Contemporary_Fiction
868;Contemporary_Fiction
869;Fantasy
870;
871;
872;Factual
873;Contemporary_Fiction
874;Contemporary_Fiction
875;Contemporary_Fiction
876;Contemporary_Fiction
877;
878;Historical_Fiction
879;Factual
880;Factual
881;Contemporary_Fiction
882;
883;Contemporary_Fiction
884;Contemporary_Fiction
885;Factual
886;Contemporary_Fiction
887;Contemporary_Fiction
888;Factual
889;Contemporary_Fiction
890;Factual
891;
892;Factual
893;Contemporary_Fiction
894;Contemporary_Fiction
895;Contemporary_Fiction
896;Factual
897;Contemporary_Fiction
898;Dramatization
899;Contemporary_Fiction
900;Dramatization
901;Factual
902;
903;Contemporary_Fiction
904;
905;
906;Contemporary_Fiction
907;Contemporary_Fiction
908;Fantasy
909;Dramatization
910;Science_Fiction
911;Factual
912;Contemporary_Fiction
913;Dramatization
914;Science_Fiction
915;Factual
916;Historical_Fiction
917;Historical_Fiction
918;Contemporary_Fiction
919;Contemporary_Fiction
920;
921;Dramatization
922;Historical_Fiction
923;Science_Fiction
924;Contemporary_Fiction
925;Dramatization
926;Contemporary_Fiction
927;Science_Fiction
928;Contemporary_Fiction
929;Contemporary_Fiction
930;
931;Dramatization
932;Kids_Fiction
933;Contemporary_Fiction
934;Contemporary_Fiction
935;Contemporary_Fiction
936;
937;
938;Factual
939;Contemporary_Fiction
940;Contemporary_Fiction
941;Contemporary_Fiction
942;Historical_Fiction
943;Contemporary_Fiction
944;
945;Contemporary_Fiction
946;Contemporary_Fiction
947;Contemporary_Fiction
948;Contemporary_Fiction
949;Contemporary_Fiction
950;
951;Contemporary_Fiction
952;Contemporary_Fiction
953;Contemporary_Fiction
954;Factual
955;Contemporary_Fiction
956;
957;Dramatization
958;Contemporary_Fiction
959;Kids_Fiction
960;Contemporary_Fiction
961;Contemporary_Fiction
962;Contemporary_Fiction
963;Historical_Fiction
964;Science_Fiction
965;Factual
966;Factual
967;Factual
968;
969;Dramatization
970;Contemporary_Fiction
971;Factual
972;Contemporary_Fiction
973;Contemporary_Fiction
974;Science_Fiction
975;Contemporary_Fiction
976;Dramatization
977;Contemporary_Fiction
978;Kids_Fiction
979;Contemporary_Fiction
980;
981;Factual
982;Factual
983;
