fname
Hlynur Palmason
Fernando Coimbra
Elisabeth Subrin
Jean-Luc Godard
Ava DuVernay
AnahÃ­ Berneri
Brian Shoaf
Steve James
Darren Lynn Bousman
Abbas Kiarostami
Krutin Patel
Aharon Keshales
John Singleton
Chris Sheridan
Fernando Grostein Andrade
Hans Petter Moland
Lee Isaac Chung
Jill Culton
Tracy Droz Tragos
Chris Weitz
Gerard Stembridge
Jesse Zwick
Stephen Elliott
Asghar Farhadi
Roy Andersson
Alexander Payne
Richard Curtis
Phillip Noyce
Timur Bekmambetov
Katharina Otto-Bernstein
Terry Jones
Mandie Fletcher
Catherine Breillat
Radu Ciorniciuc
Matthew Ornstein
David O. Russell
Stu Zicherman
Julie Taymor
Mike McCoy
Jack Bryan
Mike Ott
Robert Greene
Rosemary Rodriguez
James Gray
Paul Schrader
Craig Chester
Anders Thomas Jensen
Roger Gnoan M'Bala
Spike Jonze
Bille Woodruff
Jamie Babbit
Charles Evans Jr.
Logan Marshall-Green
Atom Egoyan
Anne Fontaine
Marco Filiberti
Shinobu Yaguchi
Baltasar KormÃ¡kur
Ross Katz
Rachel Tunnard
Scott Coffey
Lina Plioplyte
Jennifer Phang
Greg Mottola
Ari Gold
Ken Loach
Radu Jude
Kevin Asch
Havana Marking
Alastair Fothergill
Pieter Gaspersz
Jenny Gage
Jon Kean
M. Night Shyamalan
Eric Schaeffer
Jessica Sanders
Joachim Lafosse
Davide Ferrario
Emily Taguchi
Alexander H. Browne
John Huddles
Saar Klein
Lucas Belvaux
Brett Ratner
Bart Freundlich
Lana Wilson
Juan Feldman
Andrzej Wajda
Agnieszka Wojtowicz-Vosloo
Wladyslaw Pasikowski
Peter Engert
Elliott Lester
Nancy Buirski
Antonio Campos
NicolÃ¡s LÃ³pez
Charles S. Dutton
Arnaud des Palli
Harald Zwart
Kevin Allen
Mickey Reece
Oskar Roehler
Alejandro AmenÃ¡bar
Robert Richman
Steven Spielberg
Alison Klayman
Andreas Johnsen
Joan Churchill
Jamila Wignot
Jacob Hatley
David Lowery
Alexandra Lipsitz
Scandar Copti
Duncan Roy
Doug Atchison
Charles Officer
Chris Hegedus
Guy Ritchie
Declan Lowney
Niall MacCormick
Rodrigo GarcÃ­a
Rob Cohen
Rob Reiner
Chris Messina
Geoffrey Sax
Craig Johnson
Oliver Stone
Miguel Arteta
Aleksandr Sokurov
Charles Shyer
Michael Mann
Mark Mylod
Claude Miller
Josephine Mackerras
AndrÃ© TÃ©chinÃ©
Tim Burton
Andrew Neel
Chico Teixeira
Matty Beckerman
Ridley Scott
Anton Bormatov
Jabbar Raisani
R.W. Goodwin
John Schultz
James Cameron
Amos Gitai
Robert Rodriguez
Michael Rossato-Bennett
Elie Wajeman
Shunji Iwai
Eva Vives
Phil Traill
Kevin Bray
Martyn Atkins
Chris Sivertson
Joe Robert Cole
Benny Boom
Andrew Jarecki
Colleen Hennessy
Marc Forster
Susan Walter
Lisa Cortes
Douglas Tirola
Phil Morrison
Mia Hansen-LÃ¸ve
J.C. Chandor
Kenneth Branagh
Eva Trobisch
Theo Anthony
Matej Minac
Mike Leigh
Julie Davis
J.C. Khoury
Jonathan Levine
Brett Haley
Steven Zaillian
Joe Swanberg
Ridley Scott
Billy Bob Thornton
Stefan Ruzowitzky
David Gordon Green
Michael Johnson
Michal Marczak
Melissa B. Miller-Costanzo
Colin Hanks
Jenny Gage
StÃ©phane Robelin
Brett Haley
Katie Holmes
Andrea Kalin
Michael Connors
Fabrice Du Welz
Robert Zemeckis
Scott Marshall
Carlos Sanchez
David E. Talbert
Cameron Crowe
Steve Hoover
Mike Doyle
Michel Deville
Aaron Wickenden
Claudia Llosa
Cameron Crowe
John Hyams
Vincent Perez
Uwe Boll
Eric Nicholas
Lee Tamahori
John Hamburg
Albert Hughes
Anthony Bell
Nick Cassavetes
Giorgos Lanthimos
Emily Ting
Tim Hill
Mike Mitchell
Betty Thomas
Matthew Miele
Nahnatchka Khan
Jacqueline Olive
Sophia Takal
Rita Merson
Brian McGinn
Lee Hirsch
Michael Apted
Alan Elliott
Mira Nair
Jean-Pierre Jeunet
Costa-Gavras
Bruno Forzani
Aaron Russo
Dinesh D'Souza
Matt Thompson
Laurice Guillen
Matt D'Elia
Bart Layton
Michael Cuesta
Ian Inaba
Michael Nigro
Leslie Cockburn
James D. Stern
Piyush Dinker Pandya
Errol Morris
Paul Weitz
Julia Reichert
David Heinz
Ridley Scott
Aric Avelino
Andrea Arnold
David O. Russell
Doug Liman
Nathaniel Thomas McGill
Jen Soska
Les Mayfield
J.B. Rogers
Albert Hughes
Joe Brewster
Mary Harron
Steven Quale
Hayden Schlossberg
Nate Parker
Clint Eastwood
Kenny Leon
Robert Pulcini
Jon Hart
Brian McGinn
Nanette Burstein
Matt Harlock
Nima Nourizadeh
Andrew Erwin
Tim Disney
Jean-Pierre Marois
Jesse Dylan
Jake Scott
Mathieu Demy
Louis Schwartzberg
Joe Roth
John Sayles
Sean Mullin
Francis Lee
Barbet Schroeder
Michael Polish
Randy Redroad
Hemal Trivedi
Alejandro GonzÃ¡lez IÃ±Ã¡rritu
Michael Haneke
Jessica Hausner
Cherien Dabis
Shonali Bose
Romola Garai
Nadia Tass
Asif Kapadia
Julie Davis
Joe Chappelle
Eiji Okuda
Lucas Belvaux
David Zucker
Brandon Trost
Ãva GÃ¡rdos
Rebecca Zlotowski
Lone Scherfig
Bo Hu
Jim Hosking
Barry Levinson
Denys Arcand
Justin Weinstein
Bonni Cohen
Davis Guggenheim
Marilyn Agrelo
Amy Berg
Brad Silberling
Terence Nance
Lasse Hallstrom
Henriette Mantel
Georgina Riedel
Harold Ramis
Henry Miller
Catherine Breillat
Carlos Marques-Marcet
Adam McKay
Adam McKay
Zack Bernbaum
Claude Lelouch
Rob Reiner
Levan Akin
Yvan Attal
Kat Coiro
Cindy Kleine
Ric Burns
Tim Blake Nelson
Luc Besson
Luis Mandoki
Ric Roman Waugh
James Longley
Gaby Dellal
Ron Howard
Tim McCanlies
Vivian Qu
Peter Segal
David MichÃ´d
Collin Schiffli
Ian McCrudden
Jorge Dorado
Luc Besson
John McPhail
Joe Wright
Gary Dauberman
David F. Sandberg
Kazik Radwanski
Leos Carax
Will Gluck
Alex Garland
Charlie Kaufman
Andrew Niccol
Roland Emmerich
Mike Cahill
Carson D. Mell
Todd Stephens
Sam Levinson
Danae Elon
Thomas Vinterberg
Mike Leigh
Matthew Leutwyler
Peyton Reed
Peyton Reed
Luc Jacquet
Christopher Renz
Edward Burtynsky
Sean Ellis
Danny Perez
Christian Alvart
Lars von Trier
Peter Howitt
Scott Cooper
Dover Koshashvili
Denzel Washington
Sacha Gervasi
Travis Fine
Robert Cary
Woody Allen
Karyn Kusama
Francis Ford Coppola
Francis Ford Coppola
Mel Gibson
Todd Douglas Miller
Gonzalo LÃ³pez-Gallego
Gareth Evans
Martin Zandvliet
Shinji Aramaki
Amanda Wilder
Desiree Akhavan
Pierre Salvadori
Christian Desmares
Trish Doolan
Antonio MÃ©ndez Esparza
Dave Willis
James Wan
Elizabeth Allen
Victor Kossakovsky
Kleber MendonÃ§a Filho
Miguel Gomes
Miguel Gomes
Affonso Uchoa
Travis Klose
Atom Egoyan
Margot Benacerraf
Nicholas Jarecki
Adam Egypt Mortimer
Joanna Hogg
Joe Penna
Adam Ravetch
Pablo Fendrik
Brian Levant
Matthew Weiner
Ben Affleck
Nicolas Rossier
Jonathan Watson
Clark Duke
Janus Metz Pedersen
NimrÃ³d Antal
David Fairhead
Sarah Goodman
Zack Snyder
Matthias SchweighÃ¶fer
Jordan Roberts
Frank Coraci
IvÃ¡n Zulueta
Denis Villeneuve
Steven C. Miller
Jennifer Grausman
Victor Kanefsky
Doug Pray
Terry Zwigoff
Kenneth Branagh
Luc Besson
Barry Cook
Dante Ariola
John Erick Dowdle
James Franco
Leyla Bouzid
Miles Joris-Peyrafitte
RyÃ»suke Hamaguchi
Jessica Kingdon
Zhang Ke Jia
Edward Burns
Tony McNamara
Marius A. Markevicius
Ruthy Pribar
Ryan White
Robert Towne
Dan Verete
Chris Nelson
Sam Levinson
Robert Duvall
Ryan White
Isaac Florentine
Jean-FranÃ§ois Richet
Elliot Greenebaum
David Bowers
Shelagh McLeod
David Mackenzie
Ramin Bahrani
Frederick Wiseman
Julian Schnabel
Adam Rodgers
Nicholas McCarthy
Dan Stone
Anh Hung Tran
Maisie Crow
StÃ©phane BrizÃ©
Zacharias Kunuk
Chris Robinson
Mati Diop
Valentyn Vasyanovych
Gary Trousdale
John Putch
James Manera
Paul Johansson
David Brooks
David Leitch
Joe Wright
Joe Cornish
Athina Rachel Tsangari
Stanley Nelson
Takashi Miike
Bonni Cohen
Matthew Tabak
Austin Chick
Chris Eska
John Wells
Kirsten Sheridan
Alice Winocour
Cristi Puiu
James C.E. Burke
Jerusha Hess
Jay Roach
Baz Luhrmann
Jeff Feuerzeig
Ellie Kanner
Paul Schrader
Gabe IbÃ¡Ã±ez
James Felix McKenney
Ra'up McGee
Joan Chen
Sadaf Foroughi
Tate Taylor
Jordan Galland
James Cameron
Anthony Russo
Anthony Russo
DaniÃ¨le Thompson
Boaz Yakin
Paul W.S. Anderson
Colin Strause
Joby Harold
Mark Raso
Sam Mendes
Adam Yauch
Oliver Daly
Andreas Fontana
RyÃ»hei Kitamura
Mario Van Peebles
Alejandro GonzÃ¡lez IÃ±Ã¡rritu
VladimÃ­r MichÃ¡lek
Thomas Balmes
John Singleton
Edgar Wright
Michael McCullers
Franco Rosso
Mathieu Kassovitz
Shannon Murphy
Leslye Headland
Alex Pettyfer
CÃ©dric Klapisch
Adam MacDonald
Bruce Van Dusen
Per Fly
Emmanuelle Bercot
Chris Fiore
Michael Petroni
Ben Hickernell
Juliano Dornelles
Spike Lee
